season,hr,V1
Spring,0,252.725428326432
Spring,5,40.7195032245676
Spring,10,264.171889255658
Spring,15,241.201071966636
Spring,20,194.01750919748
Spring,2,149.43311667229
Spring,4,58.7172938970283
Spring,6,64.2066545706796
Spring,8,149.871662165798
Spring,12,270.87739397093
Spring,14,251.972604181815
Spring,16,248.778885379446
Spring,18,225.619361346333
Spring,22,247.532595278977
Spring,1,208.471886031731
Spring,3,84.1356254452652
Spring,7,89.7825923990336
Spring,9,208.304858709528
Spring,11,275.526090691729
Spring,13,249.367944140897
Spring,17,233.782283401764
Spring,19,198.612074361386
Spring,21,208.155374603394
Spring,23,248.928479915781
Winter,5,144.992507432796
Winter,10,78.6141970607392
Winter,15,192.38619128734
Winter,20,242.127163164995
Winter,0,207.529902288222
Winter,1,159.581138003104
Winter,2,117.086802757717
Winter,3,110.457641404153
Winter,4,134.082362124507
Winter,6,133.265504569117
Winter,7,92.0737185987166
Winter,8,57.4079942372475
Winter,9,52.3639417100451
Winter,11,159.135024560303
Winter,12,240.961394855427
Winter,13,281.302130650065
Winter,14,255.58562174939
Winter,16,152.873958461287
Winter,17,135.265522652623
Winter,18,150.923284255362
Winter,19,198.119731495202
Winter,21,269.214254687047
Winter,22,253.517166448491
Winter,23,212.68311405088
