"","season","hr","V1"
"1","Spring",0,480.289730216565
"2","Spring",5,570.558461529206
"3","Spring",7,508.728040118734
"4","Spring",10,419.403566997918
"5","Spring",15,221.253577860036
"6","Spring",17,310.874606715879
"7","Spring",20,403.097127534944
"8","Spring",2,491.073746367774
"9","Spring",12,308.798391851297
"10","Spring",22,494.525396428979
"11","Spring",3,498.338781384224
"12","Spring",4,510.78101399877
"13","Spring",6,535.841499323522
"14","Spring",21,502.046467401802
"15","Spring",9,509.64553849977
"16","Spring",13,313.928963346253
"17","Spring",16,227.571470160591
"18","Spring",18,304.691802104609
"19","Spring",19,363.656163997868
"20","Spring",1,543.984180779761
"21","Spring",8,492.071647911938
"22","Spring",14,241.728891337456
"23","Winter",10,309.049325782663
"24","Winter",15,304.692486488649
"25","Winter",17,448.488748814463
"26","Winter",20,408.839305534915
"27","Winter",0,409.674809384876
"28","Winter",22,461.478058590115
"29","Winter",5,333.142764381884
"30","Winter",12,301.358362500995
"31","Winter",2,341.917903348491
"32","Winter",7,274.704935653231
"33","Winter",4,498.794472524385
"34","Winter",8,282.320029661961
"35","Winter",16,335.971091792025
"36","Winter",14,795.219504963124
