contrast,estimate,iter
day Forest - night Forest,-0.00146597073980968,1
day Forest - day Lichen,0.123399199451418,1
day Forest - night Lichen,0.171431604785901,1
day Forest - day openMove,0.258070203768571,1
day Forest - night openMove,0.147531332440888,1
night Forest - day Lichen,0.124865170191227,1
night Forest - night Lichen,0.172897575525711,1
night Forest - day openMove,0.25953617450838,1
night Forest - night openMove,0.148997303180698,1
day Lichen - night Lichen,0.0480324053344833,1
day Lichen - day openMove,0.134671004317153,1
day Lichen - night openMove,0.0241321329894706,1
night Lichen - day openMove,0.0866385989826695,1
night Lichen - night openMove,-0.0239002723450126,1
day openMove - night openMove,-0.110538871327682,1
day Forest - night Forest,0.121292304707009,2
day Forest - day Lichen,0.278539354213553,2
day Forest - night Lichen,0.426581186229334,2
day Forest - day openMove,0.312021115863086,2
day Forest - night openMove,0.293284690100363,2
night Forest - day Lichen,0.157247049506544,2
night Forest - night Lichen,0.305288881522325,2
night Forest - day openMove,0.190728811156077,2
night Forest - night openMove,0.171992385393354,2
day Lichen - night Lichen,0.148041832015781,2
day Lichen - day openMove,0.0334817616495328,2
day Lichen - night openMove,0.0147453358868103,2
night Lichen - day openMove,-0.114560070366249,2
night Lichen - night openMove,-0.133296496128971,2
day openMove - night openMove,-0.0187364257627225,2
day Forest - night Forest,0.134063661049199,3
day Forest - day Lichen,0.161087016220488,3
day Forest - night Lichen,0.109634546876053,3
day Forest - day openMove,0.191249016402117,3
day Forest - night openMove,0.0517394587388312,3
night Forest - day Lichen,0.0270233551712891,3
night Forest - night Lichen,-0.0244291141731463,3
night Forest - day openMove,0.0571853553529178,3
night Forest - night openMove,-0.0823242023103679,3
day Lichen - night Lichen,-0.0514524693444354,3
day Lichen - day openMove,0.0301620001816287,3
day Lichen - night openMove,-0.109347557481657,3
night Lichen - day openMove,0.0816144695260641,3
night Lichen - night openMove,-0.0578950881372217,3
day openMove - night openMove,-0.139509557663286,3
day Forest - night Forest,0.108667153818952,4
day Forest - day Lichen,0.438756613458624,4
day Forest - night Lichen,0.441916616670252,4
day Forest - day openMove,0.410410730879518,4
day Forest - night openMove,0.271722625514101,4
night Forest - day Lichen,0.330089459639672,4
night Forest - night Lichen,0.3332494628513,4
night Forest - day openMove,0.301743577060566,4
night Forest - night openMove,0.163055471695149,4
day Lichen - night Lichen,0.00316000321162792,4
